TERRITORY,COUNTRY_CODE,TOTAL_LISTENERS,SUPER_LISTENERS,SUPER_LISTENER_PCT
Moncton,CA,102,7,6.86
ODESSA-MIDLAND,US,100,3,3
"LAFAYETTE, LA",US,99,11,11.11
Oshawa,CA,98,8,8.16
Irapuato,MX,97,4,4.12
Cambridge,CA,96,5,5.21
Coquitlam,CA,96,12,12.5
Kamloops,CA,94,5,5.32
ABILENE-SWEETWATER,US,93,5,5.38
COLUMBIA-JEFFERSON CITY,US,91,6,6.59
Abbotsford,CA,89,5,5.62
TOPEKA,US,89,4,4.49
GRAND JUNCTION-MONTROSE,US,88,2,2.27
JOPLIN-PITTSBURG,US,88,5,5.68
St. John's,CA,87,11,12.64
Ajax,CA,87,5,5.75
SALISBURY,US,87,4,4.6
BANGOR,US,86,11,12.79
La Paz,MX,85,2,2.35
General Escobedo,MX,84,5,5.95
PANAMA CITY,US,83,5,6.02
ANCHORAGE,US,83,8,9.64
Puebla (Heroica Puebla),MX,81,4,4.94
San Pedro Garza Garcia,MX,81,7,8.64
MONTGOMERY-SELMA,US,80,10,12.5
YUMA-EL CENTRO,US,80,13,16.25
Lethbridge,CA,80,7,8.75
TERRE HAUTE,US,80,7,8.75
Orizaba,MX,79,9,11.39
Red Deer,CA,79,2,2.53
ELMIRA (CORNING),US,77,4,5.19
MACON,US,76,1,1.32
Ixtapaluca,MX,74,5,6.76
Tlaquepaque,MX,73,3,4.11
Naucalpan de JuÃ¡rez,MX,72,7,9.72
HATTIESBURG-LAUREL,US,72,4,5.56
Playa del Carmen,MX,71,1,1.41
Whitby,CA,71,5,7.04
New Westminster,CA,71,10,14.08
BILOXI-GULFPORT,US,70,8,11.43
Terrebonne,CA,70,6,8.57
Reynosa,MX,70,4,5.71
Tepic,MX,69,9,13.04
Pickering,CA,68,7,10.29
St. Catharines,CA,67,3,4.48
Nanaimo,CA,67,4,5.97
Veracruz,MX,65,3,4.62
LAREDO,US,65,1,1.54
Laredo,US,63,4,6.35
Sherwood Park,CA,63,4,6.35
Fredericton,CA,62,2,3.23
Peterborough,CA,61,4,6.56
Milton,CA,60,2,3.33
Newmarket,CA,59,5,8.47
Chilliwack,CA,59,5,8.47
Metepec,MX,59,7,11.86
"COLUMBUS, GA (OPELIKA, AL)",US,59,1,1.69
Brantford,CA,59,0,0
Coatzacoalcos,MX,57,5,8.77
EUREKA,US,57,6,10.53
Blainville,CA,57,9,15.79
"JACKSON, TN",US,57,5,8.77
QuerÃ©taro,MX,56,6,10.71
Brossard,CA,55,7,12.73
SHERMAN-ADA,US,55,0,0
Heroica Veracruz,MX,55,3,5.45
MONROE-EL DORADO,US,55,3,5.45
WATERTOWN,US,55,4,7.27
Cholula,MX,55,7,12.73
Thunder Bay,CA,54,4,7.41
Maple Ridge,CA,54,5,9.26
Juriquilla,MX,54,1,1.85
Ensenada,MX,54,5,9.26
Ciudad Adolfo LÃ³pez Mateos,MX,54,6,11.11
GREENWOOD-GREENVILLE,US,52,1,1.92
Vaudreuil-Dorion,CA,52,9,17.31
Niagara Falls,CA,51,6,11.76
Langley,CA,51,3,5.88
Zumpango,MX,51,1,1.96
Tlaxcala,MX,51,5,9.8
Puerto Vallarta,MX,51,7,13.73
QuÃ©bec,CA,50,3,6
Thornhill,CA,50,5,10
Delta,CA,50,10,20
Uruapan,MX,50,1,2
LeÃ³n de los Aldama,MX,48,2,4.17
El Pueblito,MX,48,0,0
Dartmouth,CA,46,0,0
Prince George,CA,46,2,4.35
QUINCY-HANNIBAL-KEOKUK,US,46,3,6.52
Los Mochis,MX,45,3,6.67
COLUMBUS-TUPELO-W PNT-HSTN,US,45,1,2.22
Saint-Jean-sur-Richelieu,CA,44,3,6.82
Saint-Eustache,CA,44,9,20.45
Port Coquitlam,CA,44,4,9.09
MANKATO,US,44,4,9.09
UTICA,US,44,2,4.55
Chilpancingo,MX,43,2,4.65
CuautitlÃ¡n Izcalli,MX,43,4,9.3
"LAFAYETTE, IN",US,43,2,4.65
San Luis PotosÃ­,MX,43,6,13.95
Nepean,CA,43,4,9.3
Saint John,CA,42,5,11.9
Campeche,MX,42,3,7.14
Nuevo Laredo,MX,42,3,7.14
San Miguel de Allende,MX,42,2,4.76
Charlottetown,CA,41,4,9.76
Aurora,CA,41,3,7.32
Cuautla,MX,41,1,2.44
Tizayuca,MX,41,3,7.32
Airdrie,CA,40,1,2.5
Oak Bay,CA,40,7,17.5
Huamantla,MX,40,2,5
Zamora,MX,39,0,0
Monclova,MX,39,3,7.69
MÃ©rida,MX,38,4,10.53
Tlalpan,MX,38,3,7.89
Santa Catarina,MX,37,0,0
Sarnia,CA,37,3,8.11
Courtenay,CA,36,2,5.56
North Bay,CA,36,4,11.11
TWIN FALLS,US,35,3,8.57
Salamanca,MX,35,1,2.86
Toluca de Lerdo,MX,35,2,5.71
Ciudad Victoria,MX,34,5,14.71
York,CA,34,2,5.88
Whistler,CA,34,6,17.65
Mascouche,CA,34,3,8.82
Repentigny,CA,34,1,2.94
Boucherville,CA,34,5,14.71
Granby,CA,33,2,6.06
BOWLING GREEN,US,33,1,3.03
Vernon,CA,33,3,9.09
Tehuacan,MX,33,0,0
Ciudad del Carmen,MX,33,3,9.09
Grande Prairie,CA,32,2,6.25
Coacalco,MX,32,5,15.63
San Agustin,MX,32,3,9.38
Welland,CA,32,2,6.25
Sudbury,CA,32,1,3.13
San Juan Del Rio,MX,31,2,6.45
West Vancouver,CA,31,5,16.13
Drummondville,CA,31,1,3.23
Matamoros,MX,30,3,10
San NicolÃ¡s de los Garza,MX,30,2,6.67
St. Albert,CA,29,4,13.79
Buenavista,MX,29,1,3.45
Sainte-Julie,CA,29,4,13.79
Maple,CA,29,4,13.79
San Pedro Garza GarcÃ­a,MX,29,3,10.34
LAKE CHARLES,US,29,3,10.34
Huixquilucan de Degollado,MX,29,3,10.34
Zacatecas,MX,28,1,3.57
Orillia,CA,28,1,3.57
Woodstock,CA,28,1,3.57
Poza Rica,MX,28,2,7.14
Woodbridge,CA,28,2,7.14
TorreÃ³n,MX,28,6,21.43
JuÃ¡rez,MX,28,0,0
OTTUMWA-KIRKSVILLE,US,28,2,7.14
Mirabel,CA,28,1,3.57
Medicine Hat,CA,27,0,0
Timmins,CA,27,2,7.41
East York,CA,27,1,3.7
CancÃºn,MX,27,0,0
Arandas,MX,27,2,7.41
Fresnillo,MX,26,0,0
"ALBANY, GA",US,26,1,3.85
Tulancingo,MX,26,4,15.38
Collingwood,CA,26,0,0
Belleville,CA,26,2,7.69
Port Moody,CA,26,1,3.85
Nogales,MX,25,2,8
Villas Del Poniente,MX,25,3,12
TultitlÃ¡n de Mariano Escobedo,MX,25,0,0
Bowmanville,CA,24,2,8.33
Canmore,CA,24,6,25
Saint-Hyacinthe,CA,24,2,8.33
Cochrane,CA,24,1,4.17
Colima,MX,24,1,4.17
Orangeville,CA,23,1,4.35
Tapachula,MX,23,3,13.04
Cabo San Lucas,MX,23,3,13.04
Sault Ste. Marie,CA,23,3,13.04
Temple,US,23,2,8.7
Garcia,MX,23,1,4.35
Campbell River,CA,22,1,4.55
DOTHAN,US,22,0,0
Apodaca,MX,22,1,4.55
Beloeil,CA,22,3,13.64
Stratford,CA,22,0,0
Manzanillo,MX,22,0,0
Stoney Creek,CA,22,1,4.55
Pointe-Claire,CA,21,2,9.52
Verdun,CA,21,3,14.29
Guanajuato,MX,21,2,9.52
Chiautempan,MX,21,0,0
Tecamac de Felipe Villanueva,MX,21,0,0
San Miguel Zinacantepec,MX,21,3,14.29
Brandon,CA,21,1,4.76
Cranbrook,CA,21,1,4.76
La Prairie,CA,21,2,9.52
Ancaster,CA,21,1,4.76
Kanata,CA,20,4,20
Okotoks,CA,20,1,5
Fort McMurray,CA,20,1,5
Lagos de Moreno,MX,20,1,5
Xalapa-EnrÃ­quez,MX,20,3,15
Tlalnepantla,MX,19,5,26.32
Pachuca de Soto,MX,19,1,5.26
Spruce Grove,CA,19,1,5.26
Rouyn-Noranda,CA,19,3,15.79
San Pablo Autopan,MX,19,1,5.26
Victoriaville,CA,18,1,5.56
Marfil,MX,18,0,0
Penticton,CA,18,0,0
Chambly,CA,18,1,5.56
Valle de Bravo,MX,18,1,5.56
Saint-Laurent,CA,18,3,16.67
San Mateo Atenco,MX,18,0,0
Cornwall,CA,18,3,16.67
Ciudad General Escobedo,MX,18,0,0
JONESBORO,US,18,0,0
Chetumal,MX,18,2,11.11
"BEND, OR",US,18,1,5.56
Leduc,CA,18,0,0
Emiliano Zapata,MX,17,1,5.88
Prince Albert,CA,17,4,23.53
Owen Sound,CA,17,1,5.88
Sainte-Catherine,CA,17,2,11.76
Chatham,CA,17,0,0
Morelos,MX,17,0,0
Ocoyoacac,MX,17,3,17.65
Sydney,CA,17,0,0
Progreso,MX,17,2,11.76
Terrace,CA,17,0,0
Chestermere,CA,17,1,5.88
Squamish,CA,16,0,0
Nelson,CA,16,2,12.5
Banff,CA,16,1,6.25
Revelstoke,CA,16,4,25
West Kelowna,CA,16,0,0
Coacalco de Berriozabal,MX,16,2,12.5
CuliacÃ¡n Rosales,MX,15,1,6.67
OrlÃ©ans,CA,15,2,13.33
ZANESVILLE,US,15,0,0
Victoria de Durango,MX,15,0,0
LIMA,US,15,0,0
Miramichi,CA,15,1,6.67
Whitehorse,CA,15,2,13.33
Thorold,CA,15,2,13.33
Lloydminster,CA,15,2,13.33
St. Thomas,CA,15,2,13.33
MÃ©xico,MX,15,0,0
Pembroke,CA,15,2,13.33
L'Assomption,CA,15,1,6.67
Mont-Tremblant,CA,15,1,6.67
Trois-RiviÃ¨res,CA,15,2,13.33
Piedras Negras,MX,15,0,0
Saint-Hubert,CA,14,3,21.43
Lomas de Cocoyoc,MX,14,0,0
Salaberry-de-Valleyfield,CA,14,0,0
Saint-Georges,CA,14,1,7.14
Atlixco,MX,14,0,0
Sanctorum,MX,14,0,0
Magog,CA,14,2,14.29
Saint-Constant,CA,14,1,7.14
Rioverde,MX,14,0,0
Lower Sackville,CA,14,0,0
Guaymas,MX,14,0,0
Rimouski,CA,14,2,14.29
Mixquiahuala,MX,14,1,7.14
Quinte West,CA,13,0,0
Mission,CA,13,0,0
Fort Saskatchewan,CA,13,1,7.69
Port Alberni,CA,13,0,0
Candiac,CA,13,1,7.69
Lasalle,CA,13,1,7.69
Tuxpan,MX,13,0,0
Sorel-Tracy,CA,13,2,15.38
Sainte-Marthe-sur-le-Lac,CA,13,0,0
Bolton,CA,13,1,7.69
Tula,MX,13,1,7.69
Tlajomulco de ZÃºÃ±iga,MX,13,1,7.69
VICTORIA,US,13,1,7.69
Bedford,CA,13,1,7.69
Lachine,CA,13,1,7.69
Cobourg,CA,13,2,15.38
Delicias,MX,12,0,0
Truro,CA,12,1,8.33
Apizaco,MX,12,2,16.67
Moose Jaw,CA,12,3,25
Tamazunchale,MX,12,0,0
Ciudad Santa Catarina,MX,12,0,0
Keswick,CA,12,1,8.33
LÃ©vis,CA,12,1,8.33
Yellowknife,CA,12,1,8.33
JUNEAU,US,12,0,0
New Glasgow,CA,12,0,0
Joliette,CA,12,2,16.67
San Juan de los Lagos,MX,12,2,16.67
Boisbriand,CA,11,0,0
Pitt Meadows,CA,11,2,18.18
Georgetown,CA,11,1,9.09
CuautitlÃ¡n,MX,11,0,0
Gloucester,CA,11,0,0
Atlacomulco,MX,11,1,9.09
Saint-Sauveur,CA,11,1,9.09
Caledon,CA,11,2,18.18
Zihuatanejo,MX,11,2,18.18
Saint-Basile-le-Grand,CA,11,2,18.18
"ALEXANDRIA, LA",US,11,1,9.09
Pierrefonds,CA,11,2,18.18
Uxbridge,CA,11,2,18.18
Grimsby,CA,11,0,0
Cuajimalpa,MX,11,0,0
Corner Brook,CA,10,2,20
Simcoe,CA,10,0,0
Lavaltrie,CA,10,1,10
Courtice,CA,10,0,0
Tuxtla GutiÃ©rrez,MX,10,2,20
Vegreville,CA,10,0,0
Beaumont,CA,10,0,0
Kenora,CA,10,0,0
Bathurst,CA,10,0,0
Los Reyes,MX,10,1,10
ST. JOSEPH,US,10,1,10
Dundas,CA,10,2,20
San Luis de la Paz,MX,10,0,0
Victor Rosales,MX,10,0,0
Valle de Santiago,MX,10,0,0
Innisfil,CA,10,0,0
Mont-Saint-Hilaire,CA,10,1,10
Ocotlan,MX,10,1,10
Dollard-des-Ormeaux,CA,10,0,0
Macuspana,MX,10,0,0
New Tecumseth,CA,10,0,0
Stony Plain,CA,10,1,10
Hidalgo,MX,10,0,0
Bracebridge,CA,10,1,10
Cold Lake,CA,10,0,0
Stouffville,CA,10,0,0
Montemorelos,MX,10,1,10
Tejupilco de Hidalgo,MX,10,1,10
Navojoa,MX,9,1,11.11
Ciudad Valles,MX,9,2,22.22
Summerside,CA,9,2,22.22
MazatlÃ¡n,MX,9,0,0
Williams Lake,CA,9,0,0
Ramos Arizpe,MX,9,0,0
Taxtitla,MX,9,2,22.22
Sainte-Sophie,CA,9,3,33.33
Dolbeau-Mistassini,CA,9,0,0
NORTH PLATTE,US,9,1,11.11
Acapulco de JuÃ¡rez,MX,9,1,11.11
TonalÃ¡,MX,9,1,11.11
Paradise,CA,9,1,11.11
Dorval,CA,9,1,11.11
Kirkland,CA,9,1,11.11
Yarmouth,CA,9,0,0
Westmount,CA,9,0,0
Beaconsfield,CA,9,1,11.11
Dolores Hidalgo,MX,9,0,0
San Juan del Rio,MX,9,0,0
Quispamsis,CA,9,2,22.22
Parksville,CA,9,0,0
San AndrÃ©s Cholula,MX,9,0,0
Melchor Ocampo,MX,9,1,11.11
Villa NicolÃ¡s Romero,MX,9,0,0
Smiths Falls,CA,9,0,0
Los Angeles,MX,9,1,11.11
Altamira,MX,9,2,22.22
Fernie,CA,9,0,0
Miramar,MX,9,1,11.11
Saint-Lambert,CA,9,1,11.11
Wolfville,CA,9,1,11.11
Tierra Blanca,MX,9,0,0
Perth,CA,9,0,0
Brockville,CA,9,1,11.11
Outremont,CA,9,1,11.11
Salmon Arm,CA,9,0,0
Prince Rupert,CA,9,0,0
FAIRBANKS,US,9,0,0
Wainwright,CA,8,2,25
Varennes,CA,8,0,0
Fort Erie,CA,8,1,12.5
Antigonish,CA,8,2,25
Castlegar,CA,8,0,0
Alma,CA,8,1,12.5
Salina Cruz,MX,8,0,0
Portage La Prairie,CA,8,0,0
Baie-Comeau,CA,8,1,12.5
Valladolid,MX,8,2,25
Madero,MX,8,1,12.5
Val-d'Or,CA,8,2,25
Camrose,CA,8,0,0
Kimberley,CA,8,1,12.5
Tenango de Arista,MX,8,0,0
Quesnel,CA,8,1,12.5
Pincourt,CA,8,0,0
El Salto,MX,8,2,25
Chalco,MX,8,0,0
Wasaga Beach,CA,8,0,0
Dieppe,CA,8,0,0
Miguel Hidalgo,MX,8,2,25
Tecate,MX,8,1,12.5
Steinbach,CA,8,0,0
Whitecourt,CA,8,0,0
Riverview,CA,8,1,12.5
Oaxaca de JuÃ¡rez,MX,8,0,0
La Malbaie,CA,8,1,12.5
ChimalhuacÃ¡n,MX,8,0,0
Fort St. John,CA,8,0,0
Essex,CA,7,1,14.29
Sidney,CA,7,0,0
Ciudad Madero,MX,7,0,0
Deux-Montagnes,CA,7,1,14.29
Thompson,CA,7,1,14.29
Kingsville,CA,7,0,0
Kitimat,CA,7,1,14.29
Cortazar,MX,7,0,0
Chalco de DÃ­az Covarrubias,MX,7,0,0
Tecamachalco,MX,7,0,0
Coatepec,MX,7,1,14.29
San Francisco Juriquilla,MX,7,0,0
PRESQUE ISLE,US,7,0,0
Rosarito,MX,7,1,14.29
Deep River,CA,7,1,14.29
Atotonilco el Alto,MX,7,0,0
L'Ancienne-Lorette,CA,7,1,14.29
Sainte-Marie,CA,7,0,0
Santa Teresa,MX,7,0,0
Actopan,MX,7,0,0
Shawinigan,CA,7,0,0
Santa Rosa Treinta,MX,7,1,14.29
Casselman,CA,7,0,0
Tofino,CA,7,1,14.29
Fergus,CA,7,2,28.57
Mount Pearl,CA,7,1,14.29
Lincoln,CA,7,1,14.29
MERIDIAN,US,7,1,14.29
Valle de Chalco Solidaridad,MX,7,0,0
Aldergrove,CA,7,1,14.29
Garson,CA,7,0,0
Mont-Royal,CA,7,0,0
Zapotlanejo,MX,7,0,0
Drayton Valley,CA,7,0,0
Saint-Colomban,CA,7,2,28.57
Apatzingan,MX,7,0,0
Carleton Place,CA,6,0,0
New Hamburg,CA,6,0,0
Edson,CA,6,0,0
Montmagny,CA,6,1,16.67
Sainte-Agathe-des-Monts,CA,6,0,0
Pointe-aux-Trembles,CA,6,0,0
White Rock,CA,6,2,33.33
Hanover,CA,6,0,0
Brooks,CA,6,1,16.67
Chiapa de Corzo,MX,6,1,16.67
Huauchinango,MX,6,0,0
Innisfail,CA,6,0,0
Capilla de Guadalupe,MX,6,0,0
Uriangato,MX,6,0,0
San Salvador Atenco,MX,6,1,16.67
Estevan,CA,6,1,16.67
East Gwillimbury,CA,6,0,0
Shawnigan Lake,CA,6,1,16.67
Port Colborne,CA,6,0,0
CÃ³rdoba,MX,6,1,16.67
Midland,CA,6,0,0
El Tejar,MX,6,1,16.67
Vicente Guerrero,MX,6,0,0
Olds,CA,6,1,16.67
Ingersoll,CA,6,0,0
100 Mile House,CA,6,0,0
Yuriria,MX,6,0,0
Embrun,CA,6,0,0
Lorraine,CA,6,1,16.67
Greenfield Park,CA,6,0,0
Invermere,CA,6,0,0
Saanichton,CA,6,0,0
Ciudad Mante,MX,6,0,0
San Rafael,MX,6,1,16.67
Lake Country,CA,6,2,33.33
Trail,CA,6,0,0
Edgewater,US,6,2,33.33
Salvatierra,MX,6,1,16.67
Nicolet,CA,6,1,16.67
Ameca,MX,6,1,16.67
Gander,CA,6,0,0
Elora,CA,6,0,0
