ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Maddy Hicks,Deadline,196750003,2023-02-02,2023-01-27T00:00:00.000Z,2374,27,6,6,1,true,0,7269,175954,7269,7267,7263,7257,7255,7248,7239,175954,178989,182024,185730,205897,218189,231662,2374,2324,2504,2517,2065,2230,2059,10325,4007,4007,4002,3995,3986,3983,3980,3973
Death Cab For Cutie,The Plan,196750004,2023-02-02,2023-01-31T00:00:00.000Z,12631,0,2,6,1,true,0,1442577,3747778,1442577,1442292,1442034,,,,,3747778,3741413,3738864,,,,,12631,9752,14577,,,,,60444,226110,226110,225981,225852,,,,
ThxSoMch,Caroline,196750005,2023-01-12,2023-01-11T00:00:00.000Z,34546,0,1,6,1,true,50,107018,6059192,107018,106223,,,,,,6059192,6032246,,,,,,34546,30841,,,,,,392093,26322,26322,25835,,,,,
Sir Chloe,Hooves,196750006,2023-02-23,2023-02-23T00:00:00.000Z,15868,0,0,6,1,true,0,547188,2938746,547188,,,,,,,2938746,,,,,,,15868,,,,,,,149644,112486,112486,,,,,,
Ty Dolla $ign,2022,196750008,2023-01-12,2023-01-07T00:00:00.000Z,22702,1,5,6,1,true,27,4473394,25052944,4473394,4472671,4470193,4468839,4467602,4466374,,25052944,24966712,24955203,24943694,24892253,24880698,,22702,23052,28668,30637,24045,10445,,333132,6857662,6857662,6858263,6851880,6851508,6846365,6843986,
Luh Tyler,Luhtyler X Jayda Wayda,196792843,2023-04-06,2023-04-04T00:00:00.000Z,21346,14878,2,6,1,true,27,62927,1588372,62927,61739,60559,,,,,1588372,1560562,1539722,,,,,21346,18495,11515,,,,,142320,507311,507311,509100,501053,,,,
Daniel Leggs,Last One Standing,197467503,2023-01-26,2023-01-22T00:00:00.000Z,1611,,4,6,1,true,25,19420,728965,19420,19403,19384,19340,19323,,,728965,737779,740806,741394,744727,,,1611,1170,1100,1136,772,,,18410,45023,45023,45033,45067,45098,45129,,
Robin Schulz,Sweet Goodbye,197467564,2023-02-23,2023-02-17T00:00:00.000Z,33222,282,6,6,1,true,53,3032389,35375360,3032389,3031948,3031594,3031177,3030949,3030720,3029865,35375360,35402513,35508516,35508516,35567181,35654607,35654607,33222,27239,28332,26693,24537,32391,45968,166227,581105,581105,581060,581014,580968,580941,580954,580966
Sir Chloe,Should I,197467792,2023-05-18,2023-05-16T00:00:00.000Z,10963,0,2,6,1,true,0,578287,3507828,578287,578030,577609,,,,,3507828,3504740,3501210,,,,,10963,11293,5074,,,,,151254,116963,116963,116821,116718,,,,
Sir Chloe,Salivate,197467793,2023-03-23,2023-03-23T00:00:00.000Z,6714,,0,6,1,true,0,556907,3162768,556907,,,,,,,3162768,,,,,,,6714,,,,,,,131174,113604,113604,,,,,,
