ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,IG_FOLLOWER_COUNT,TT_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6,TTFOLDAY0,TTFOLDAY1,TTFOLDAY2,TTFOLDAY3,TTFOLDAY4,TTFOLDAY5,TTFOLDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET
Malu Trevejo,"Culo Chapa (Feat. La Perversa,",170478052,2022-02-24,2022-02-22T00:00:00.000Z,3882,0,2,6,1,true,42,2127375,1169748,2127375,2120867,979034,,,,,1169748,1165200,46400,,,,,3882,4602,2950,,,,,39616
Xowie Jones,Uh Oh!,170478053,2022-04-07,2022-04-01T00:00:00.000Z,1516,3,6,6,1,true,26,777809,7300000,777809,777709,777957,778207,778766,779262,779470,7300000,7300000,7300000,7300000,7300000,7300000,7300000,1516,1145,1121,1487,1280,1664,2625,13756
Kehlani,Little Story,170478056,2022-02-24,2022-02-24T00:00:00.000Z,159551,0,0,6,1,true,0,13620095,3300000,13620095,,,,,,,3300000,,,,,,,159551,,,,,,,1897540
Sabrina Claudio,Better Version,170478062,2022-03-24,2022-03-24T00:00:00.000Z,32545,0,0,6,1,true,0,1067033,62869,1067033,,,,,,,62869,,,,,,,32545,,,,,,,442743
Sydney Rose,Phoebe Told Me,170478063,2022-03-10,2022-03-04T00:00:00.000Z,4940,8,6,6,1,true,0,8215,205624,8215,8194,8173,8131,8079,8020,8006,205624,205618,205651,205684,205687,205661,205636,4940,4745,4613,5071,4154,4676,4935,22195
Sad Night Dynamite,Look Alive,170478065,2022-04-07,2022-04-07T00:00:00.000Z,3135,,0,6,1,true,28,24374,28554,24374,,,,,,,28554,,,,,,,3135,,,,,,,24506
Sad Night Dynamite,Split Back,170478066,2022-04-07,2022-04-07T00:00:00.000Z,2465,,0,6,1,true,27,24374,28554,24374,,,,,,,28554,,,,,,,2465,,,,,,,18332
Sad Night Dynamite,Tramp,170478067,2022-04-07,2022-04-07T00:00:00.000Z,2447,,0,6,1,true,29,24374,28554,24374,,,,,,,28554,,,,,,,2447,,,,,,,46714
Sad Night Dynamite,Dropped Eyes,170478068,2022-04-07,2022-04-07T00:00:00.000Z,1998,,0,6,1,true,25,24374,28554,24374,,,,,,,28554,,,,,,,1998,,,,,,,16095
Camila Cabello,Bam Bam,170486108,2022-03-10,2022-03-04T00:00:00.000Z,932416,6982,6,6,1,true,72,60311923,15195959,60311923,60329319,37316289,37298829,60225943,37272427,60173568,15195959,15183375,10308131,10303580,15145620,10294952,15120451,932416,948860,956680,976689,927635,1144345,1273705,6171850
Clean Bandit,Everything But You,170557011,2022-02-24,2022-02-18T00:00:00.000Z,54621,162,6,6,1,true,53,1215560,215631,1215560,14063,1215810,1215808,13971,13922,13892,215631,,215111,214892,,,,54621,58108,58481,56454,50650,68323,94339,280789
Ty Dolla $ign,Champions,170557012,2022-02-17,2022-02-17T00:00:00.000Z,22,,0,6,1,true,20,35243033,4100000,35243033,,,,,,,4100000,,,,,,,22,,,,,,,280113
Kojey Radical,Silk,170563553,2022-02-24,2022-02-18T00:00:00.000Z,4247,,6,6,1,true,19,103585,20262,103585,103480,846431,103407,845540,103351,845248,20262,20258,189653,20251,189621,20243,189586,4247,4867,5225,5324,5544,7516,11109,25118
Kodak Black,I Wish,170908640,2022-02-24,2022-02-21T00:00:00.000Z,288360,0,3,6,1,true,31,11649555,646554,11649555,11640283,11634536,11625243,,,,646554,643586,634083,616377,,,,288360,213805,35500,0,,,,4683460
Kodak Black,Take You Back,170908761,2022-02-24,2022-02-24T00:00:00.000Z,658,,0,6,1,true,12,12734283,1599404,12734283,,,,,,,1599404,,,,,,,658,,,,,,,2697473
Kodak Black,Let Me Know,170908762,2022-02-24,2022-02-24T00:00:00.000Z,503,,0,6,1,true,14,11649555,646554,11649555,,,,,,,646554,,,,,,,503,,,,,,,4078398
Kodak Black,Hitting Houses,170908763,2022-02-24,2022-02-24T00:00:00.000Z,228,,0,6,1,true,7,11649555,646554,11649555,,,,,,,646554,,,,,,,228,,,,,,,1872138
Kodak Black,Back For Everything,170908764,2022-02-24,2022-02-24T00:00:00.000Z,417,,0,6,1,true,12,11649555,646554,11649555,,,,,,,646554,,,,,,,417,,,,,,,3381593
Kodak Black,Usain Boo,170908765,2022-02-24,2022-02-24T00:00:00.000Z,1000,,0,6,1,true,18,11649555,646554,11649555,,,,,,,646554,,,,,,,1000,,,,,,,5037794
Avril Lavigne,Bois Lie,170967283,2022-03-03,2022-02-25T00:00:00.000Z,197938,602,6,6,1,true,54,9464990,3318772,9464990,9464797,9466174,9467795,10537257,10528690,9482979,3318772,3308759,3299552,3295974,2815088,2800000,3285241,197938,200070,218970,238699,216257,301801,422526,1348421
Avril Lavigne,Kiss Me Like The World Is Ending,170967284,2022-03-03,2022-02-25T00:00:00.000Z,81137,291,6,6,1,true,27,10558289,2900000,10558289,10559504,10549684,10545604,10537257,10528690,10525795,2900000,2900000,2890489,2852788,2815088,2800000,2800000,81137,81822,91596,102911,92131,130174,167023,342396
Avril Lavigne,All I Wanted,170967285,2022-03-03,2022-02-25T00:00:00.000Z,77292,2229,6,6,1,true,41,,,,10559504,10549684,,10537257,10528690,10525795,,2900000,2890489,,2815088,2800000,2800000,77292,79809,89404,101531,90943,128588,169594,343634
Central Cee,Lil Bro,170967287,2022-03-03,2022-02-25T00:00:00.000Z,8134,39,6,6,1,true,51,2685456,1814221,2685456,,2645699,,,,,1814221,,1804182,,,,,8134,8554,9282,10416,9004,11282,16457,36318
"Dcg Brothers, Dcg Shun, Dcg Bs",Not Scared,170967422,2022-03-03,2022-03-01T00:00:00.000Z,6472,0,2,6,1,true,3,163844,,163844,163404,163343,,,,,,,,,,,,6472,5098,41,,,,,37162
Arden Jones,Day By Day,170967423,2022-03-03,2022-03-03T00:00:00.000Z,8030,0,0,6,1,true,29,36106,93287,36106,,,,,,,93287,,,,,,,8030,,,,,,,29277
Arden Jones,The Other Side,170967424,2022-03-03,2022-03-03T00:00:00.000Z,8716,0,0,6,1,true,29,36106,93287,36106,,,,,,,93287,,,,,,,8716,,,,,,,62711
Arden Jones,Run Wild,170967425,2022-03-03,2022-03-03T00:00:00.000Z,7797,0,0,6,1,true,30,36106,93287,36106,,,,,,,93287,,,,,,,7797,,,,,,,37869
Daine,Weekends,170967433,2022-04-28,2022-04-28T00:00:00.000Z,1629,,0,6,1,true,17,26252,16255,26252,,,,,,,16255,,,,,,,1629,,,,,,,46833
Mahalia,Whatever Simon Says,170967591,2022-03-24,2022-03-18T00:00:00.000Z,64168,671,6,6,1,true,33,584989,89726,584989,584971,584318,584174,583864,583560,583578,89726,89652,89575,89526,89476,89426,89353,64168,66885,66176,72637,66982,77572,84677,331358
Coldplay X Selena Gomez,Let Somebody Go (Single Versio,170967658,2022-03-10,2022-03-04T00:00:00.000Z,33339,196,6,6,1,true,36,302074661,37850544,302074661,301847033,15039683,301121932,15028744,15023071,15017860,37850544,37844662,2731272,37832898,2721727,2716954,2712182,33339,34614,34229,50959,50351,72596,110593,129480
Jasiah,Earthquake,170967793,2022-03-03,2022-02-25T00:00:00.000Z,45047,62,6,6,1,true,43,431452,212028,431452,431440,431502,4581513,4585271,430836,4588909,212028,211929,211750,9300000,9300000,210831,9300000,45047,49501,55009,59762,49269,64222,83911,210761
Lil Eazzyy,Forever Been Steppin',170967794,2022-03-10,2022-03-10T00:00:00.000Z,14,,0,6,1,true,14,189461,42848,189461,,,,,,,42848,,,,,,,14,,,,,,,139797
Moneysign Suede,Ain’t Gon Lie,170967796,2022-03-03,2022-02-28T00:00:00.000Z,3142,0,3,6,1,true,34,120816,,120816,120623,120540,120353,,,,,,,,,,,3142,2898,2613,773,,,,77235
Knocks,Boombox,170967797,2022-04-21,2022-04-20T00:00:00.000Z,0,,1,6,1,true,26,43147,6109,43147,43134,,,,,,6109,6092,,,,,,0,0,,,,,,4
Knocks,Real Life (Feat. Cannons),170967798,2022-04-21,2022-04-20T00:00:00.000Z,0,,1,6,1,true,40,89424,134278,89424,89143,,,,,,134278,134258,,,,,,0,0,,,,,,10
Knocks,Bang Bang,170967799,2022-04-14,2022-04-08T00:00:00.000Z,18000,46,6,6,1,true,20,43064,5908,43064,87986,43041,43030,42988,87993,42923,5908,27381,5874,5863,5851,26850,5833,18000,17281,18344,20142,17172,25523,50630,112993
Knocks,Gimme Love (Feat. Yoke Lore),170967800,2022-04-21,2022-04-20T00:00:00.000Z,0,,1,6,1,true,34,43147,6109,43147,41344,,,,,,6109,,,,,,,0,0,,,,,,4
Knocks & Powers,Stay Gold,170967801,2022-04-21,2022-04-20T00:00:00.000Z,0,,1,6,1,true,31,43147,6109,43147,8429,,,,,,6109,,,,,,,0,0,,,,,,4
Weezer,A Little Bit Of Love,170967802,2022-03-17,2022-03-16T00:00:00.000Z,92327,0,1,6,1,true,44,566648,502683,566648,566686,,,,,,502683,502581,,,,,,92327,59226,,,,,,854643
Tones And I,Eyes Don’t Lie,170967803,2022-03-17,2022-03-17T00:00:00.000Z,12772,0,0,6,1,true,43,665311,794493,665311,,,,,,,794493,,,,,,,12772,,,,,,,555522
A Boogie Wit Da Hoodie,Hit Different (Feat. B-Lovee),170967804,2022-03-03,2022-03-03T00:00:00.000Z,288,,0,6,1,true,19,5996169,156046,5996169,,,,,,,156046,,,,,,,288,,,,,,,2550684
Coldplay,Day 'N' Nite,171047622,2022-02-24,2022-02-23T00:00:00.000Z,45160,,1,6,1,true,39,14972379,2602060,14972379,14972851,,,,,,2602060,2600000,,,,,,45160,61481,,,,,,591100
Big Scarr,Fantasy,171047639,2022-03-03,2022-02-25T00:00:00.000Z,209269,87,6,6,1,true,54,747605,40324,747605,745921,19654275,19655366,742175,19656476,736418,40324,40306,1200000,1200000,40242,1200000,40199,209269,208526,209379,189753,150673,188234,220835,1192743
Big Scarr,Houdini,171047640,2022-03-03,2022-02-25T00:00:00.000Z,89181,57,6,6,1,true,37,15622092,114323,15622092,15619313,15614848,743841,742175,738186,15597398,114323,114275,114228,40263,40242,40220,114040,89181,94901,101480,101005,83467,105052,127283,457926
Big Scarr,MJ,171047641,2022-03-03,2022-02-25T00:00:00.000Z,138693,61,6,6,1,true,56,747605,40324,747605,745921,50527,50344,50246,50076,736418,40324,40306,,,,,40199,138693,143634,148339,157079,125239,154587,189503,938684
David Guetta x Felix Da Housecat x Kittin,Silver Screen (Shower Scene),171047644,2022-02-24,2022-02-23T00:00:00.000Z,18830,,1,6,1,true,41,89349,,89349,8949921,,,,,,,3900000,,,,,,18830,18397,,,,,,250410
Feni,Dumb Enough 2,171209246,2022-12-08,2022-12-02T00:00:00.000Z,1759,1197,6,6,1,true,32,13114,86186,13114,13130,13132,13145,13149,13154,13163,86186,86189,86208,86233,86257,86282,86261,1759,2053,1992,1892,1161,1305,1450,17654
Nocap,I'Ll Be Here,171211435,2022-03-17,2022-03-16T00:00:00.000Z,174602,25874,1,6,1,true,0,2125329,132069,2125329,2122666,,,,,,132069,132056,,,,,,174602,75681,,,,,,898777
Sueco,Today,171545362,2022-03-10,2022-03-04T00:00:00.000Z,69385,144,6,6,1,true,45,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,69385,70142,72567,76614,62432,75317,102540,362938
Sueco,It's Going Good!,171545363,2022-03-10,2022-03-04T00:00:00.000Z,65194,105,6,6,1,true,42,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,65194,66390,68520,73475,58365,71708,95420,309975
Sueco,Hate You Too,171545364,2022-03-10,2022-03-04T00:00:00.000Z,65426,94,6,6,1,true,35,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,65426,68666,71143,74434,58083,72943,97899,302817
Sueco,Drunk Dial,171545365,2022-03-10,2022-03-04T00:00:00.000Z,116676,141,6,6,1,true,45,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,116676,117244,117217,133488,105149,132608,190407,552854
Sueco,Toxic Therapy,171545366,2022-03-10,2022-03-04T00:00:00.000Z,61427,76,6,6,1,true,40,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,61427,63033,65762,70292,55447,67856,86605,326630
Sueco,Motel 666,171545367,2022-03-10,2022-03-04T00:00:00.000Z,54583,69,6,6,1,true,38,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,54583,55873,58071,60953,47614,57265,72804,269638
Sueco,It Was Fun While It Lasted,171545368,2022-03-10,2022-03-04T00:00:00.000Z,46326,71,6,6,1,true,35,588476,6900000,588476,588560,587830,587533,587159,585999,585870,6900000,6900000,6900000,6900000,6900000,6900000,6900000,46326,48544,50330,52026,41591,51880,67639,223032
Diplo,High Rise,171545369,2022-03-03,2022-03-03T00:00:00.000Z,86,,0,6,1,true,7,682613,438235,682613,,,,,,,438235,,,,,,,86,,,,,,,494358
Diplo & RY X,Your Eyes,171545370,2022-08-11,2022-08-05T00:00:00.000Z,2398,6,6,6,1,true,35,6083138,2200000,6083138,6085801,119356,24532,119257,6085365,6083979,2200000,2200000,,182992,,2200000,2200000,2398,3205,1498,1560,1466,1775,2311,8393
Diplo & Mele,Right 2 Left,171545371,2022-03-03,2022-03-03T00:00:00.000Z,335,,0,6,1,true,4,,,,,,,,,,,,,,,,,335,,,,,,,211090
Diplo & Lil Yachty,Humble,171545372,2022-03-03,2022-03-03T00:00:00.000Z,77,,0,6,1,true,23,5826881,2000000,5826881,,,,,,,2000000,,,,,,,77,,,,,,,346628
Diplo & Tsha,Let You Go,171545373,2022-03-10,2022-03-04T00:00:00.000Z,110086,183,6,6,1,true,52,,,,5837636,5833034,,32717,78005,65100,,2000000,2000000,,304,3803,,110086,110874,103120,109759,98726,149647,242047,414243
Diplo & WhoMadeWho,Make You Happy,171545374,2022-03-10,2022-03-04T00:00:00.000Z,17415,15,6,6,1,true,10,84081,,84081,84060,83910,5829886,83684,83541,5827513,,,,2000000,,,2000000,17415,21582,12599,12773,11297,16889,21620,47333
David Guetta & Afrojack,Trampoline,171545452,2022-03-03,2022-03-03T00:00:00.000Z,37241,,0,6,1,true,41,3830842,78476,3830842,,,,,,,78476,,,,,,,37241,,,,,,,568681
Kojey Radical,Talkin,171545465,2022-03-03,2022-03-03T00:00:00.000Z,4,,0,6,1,true,8,104113,20288,104113,,,,,,,20288,,,,,,,4,,,,,,,34975
Enchanting,Take It Back,171545575,2022-03-10,2022-03-08T00:00:00.000Z,13359,0,2,6,1,true,2,817327,341972,817327,816599,816488,,,,,341972,341822,341694,,,,,13359,7816,1,,,,,106298
Gucci Mane,Publicity Stunt,171545578,2022-03-03,2022-03-03T00:00:00.000Z,166,,0,6,1,true,19,15622092,114323,15622092,,,,,,,114323,,,,,,,166,,,,,,,4560023
Staves,Cloudbusting (Be Kind Version),171545694,2022-03-24,2022-03-18T00:00:00.000Z,2054,4,6,6,1,true,18,74291,,74291,74273,74293,74282,74281,74265,74274,,,,,,,,2054,2357,2462,2614,1670,2511,1403,12470
Arlie,Sickk,171545954,2022-04-07,2022-04-01T00:00:00.000Z,5166,2,6,6,1,true,0,15119,2206,15119,15098,15074,15047,15055,14956,14944,2206,2205,2204,2201,2195,2192,2189,5166,6088,5756,6592,6210,7947,12033,27416
"Knowmadic, Atlantic Chill",Inertia,171545968,2022-03-24,2022-03-18T00:00:00.000Z,1211,13,6,6,1,true,9,2262,,2262,2263,2433,2263,2432,2425,2262,,,1907,,1908,1908,,1211,1280,1215,1218,1087,1094,1249,9755
Adia Victoria,Ain't Killed Me Yet,171545972,2022-03-24,2022-03-21T00:00:00.000Z,977,,3,6,1,true,33,22524,,22524,22510,22489,22495,,,,,,,,,,,977,758,1028,952,,,,20874
Kaleo,Backbone (Live At Breiðarmerku,171545974,2022-03-17,2022-03-11T00:00:00.000Z,6731,14,6,6,1,true,37,335775,,335775,335781,335402,335260,334915,334624,334502,,,,,,,,6731,6896,7500,8265,7941,11158,18534,42728
Kali,New Day,171545976,2022-03-17,2022-03-11T00:00:00.000Z,19563,10,6,6,1,true,16,433478,460482,433478,432042,431376,430409,427884,426180,425427,460482,460365,460103,459544,458878,458750,458197,19563,20770,22872,22802,17679,19770,19178,96384
Sebastian Javier,Pretend,171545981,2022-03-31,2022-03-25T00:00:00.000Z,2403,,6,6,1,true,22,207002,160847,207002,206807,206623,206518,206505,206482,206511,160847,160503,160025,159612,159064,158361,157729,2403,1785,270,160,168,225,269,13379
Faouzia,Rip,171545990,2022-03-31,2022-03-29T00:00:00.000Z,46793,0,2,6,1,true,16,1932114,3017307,1932114,1930621,1929366,,,,,3017307,3010175,3003042,,,,,46793,50956,245,,,,,419304
Symba,Goat,171545991,2022-05-19,2022-05-18T00:00:00.000Z,10132,0,1,6,1,true,25,262269,73667,262269,258070,,,,,,73667,73651,,,,,,10132,8363,,,,,,239985
Diamond Platnumz,Fine,171546050,2022-03-17,2022-03-11T00:00:00.000Z,2114,375,6,6,1,true,27,14239865,890037,14239865,14239767,14229803,14225250,14220788,14215693,14211070,890037,859537,816458,791043,769194,768523,767740,2114,2335,2765,3012,2870,3993,4965,13586
Diamond Platnumz,Mtasubiri (Feat. Zuchu),171546051,2022-03-17,2022-03-11T00:00:00.000Z,3670,679,6,6,1,true,41,4275286,456162,4275286,14239767,4262264,14225250,4251076,4245786,14211070,456162,859537,445383,791043,436995,433942,767740,3670,4003,5155,4893,4693,5196,5642,22381
Diamond Platnumz,Sona (Feat. Adekunle Gold),171546052,2022-03-17,2022-03-11T00:00:00.000Z,6673,574,6,6,1,true,27,7953859,578109,7953859,7952552,14229803,7928661,14220788,14215693,14211070,578109,577558,816458,576595,769194,768523,767740,6673,6952,7211,9862,10290,11971,11916,37985
Diamond Platnumz,Wonder,171546053,2022-03-17,2022-03-11T00:00:00.000Z,2052,413,6,6,1,true,27,14239865,890037,14239865,14239767,14229803,14225250,14220788,14215693,14211070,890037,859537,816458,791043,769194,768523,767740,2052,2125,2514,2743,2628,3406,4400,12572
Diamond Platnumz,"Fresh (Feat. Focalistic, Costa",171546055,2022-03-17,2022-03-11T00:00:00.000Z,1921,346,6,6,1,true,30,356739,606706,356739,356156,1298909,355209,354699,1836711,353772,606706,606207,1064668,605196,604502,233005,602748,1921,2005,2484,2560,2441,3273,4441,15093
Alt-J,Hard Drive Gold (Maya Jane Col,171546493,2022-03-24,2022-03-18T00:00:00.000Z,17223,35,6,6,1,true,2,105668,,105668,105661,105639,339235,339006,105603,105627,,,,12384,12351,,,17223,18641,20781,26322,13242,19301,39722,53055
YoungBoy Never Broke Again,Opposite,171632562,2022-02-24,2022-02-20T00:00:00.000Z,0,,4,6,1,true,36,10509784,,10509784,10509784,10509784,10509784,10503871,,,,,,,,,,0,0,0,0,0,,,0
MoneySign $uede,Too Late,171859105,2022-03-10,2022-03-07T00:00:00.000Z,2256,,3,6,1,true,31,123615,,123615,122562,121777,121456,,,,,,,,,,,2256,1398,706,169,,,,65819
Kali (Hip-Hop/R&B),Standards,171890554,2022-03-10,2022-03-08T00:00:00.000Z,26185,,2,6,1,true,3,425691,456832,425691,424327,424193,,,,,456832,456386,455839,,,,,26185,28797,9200,,,,,517362
Fatt Macc,Party,171967686,2022-11-17,2022-11-17T00:00:00.000Z,996,,0,6,1,true,6,25213,,25213,,,,,,,,,,,,,,996,,,,,,,9268
Fatt Macc,On His Head,171970137,2022-09-15,2022-09-15T00:00:00.000Z,2529,11973,0,6,1,true,0,22555,,22555,,,,,,,,,,,,,,2529,,,,,,,61630
Ravenna Golden,Big Knife,171978353,2022-03-10,2022-03-10T00:00:00.000Z,1072,,0,6,1,true,0,6809,,6809,,,,,,,,,,,,,,1072,,,,,,,49309
A7s & S1mba,On & On,172015987,2022-03-31,2022-03-25T00:00:00.000Z,2949,25,6,6,1,true,33,79880,168673,79880,79861,14662,79789,79749,79722,79684,168673,168653,,168612,168580,168529,168459,2949,2524,2903,2430,2233,2976,3388,21607
Jub+�L,So Sick,172016012,2022-04-07,2022-04-01T00:00:00.000Z,6824,62,6,6,1,true,54,9011,47339,9011,9004,8987,8981,8982,8963,8963,47339,47330,47321,47312,47303,47239,47075,6824,6658,6002,5818,5321,5822,7977,49256
Lil Eazzyy,Nothing Left,172016015,2022-04-07,2022-04-01T00:00:00.000Z,25821,20,6,6,1,true,0,188510,49756,188510,188530,188537,188554,188583,188488,188651,49756,49744,49731,49719,49706,49654,49534,25821,31103,29964,30325,22665,25446,30180,110044
Winona Oak,Baby Blue,172016016,2022-03-31,2022-03-31T00:00:00.000Z,2912,,0,6,1,true,21,74099,2176,74099,,,,,,,2176,,,,,,,2912,,,,,,,38340
Christina Perri,Evergone,172016017,2022-03-24,2022-03-24T00:00:00.000Z,16628,0,0,6,1,true,0,1090018,173244,1090018,,,,,,,173244,,,,,,,16628,,,,,,,167041
Lil Eazzyy,Bring Some Mo,172016019,2022-05-12,2022-05-09T00:00:00.000Z,13665,1,3,6,1,true,0,4886343,11080957,4886343,187615,4882739,187523,,,,11080957,50479,11066212,50380,,,,13665,15499,16870,5409,,,,521547
Jamie Miller,Last Call,172016527,2022-03-31,2022-03-25T00:00:00.000Z,138115,309,6,6,1,true,45,626780,2500000,626780,626582,626330,626293,626203,625941,625844,2500000,2500000,2500000,2500000,2500000,2500000,2500000,138115,146179,149537,125269,103508,129827,120383,726937
Ogi,Envy,172016528,2022-03-24,2022-03-24T00:00:00.000Z,1868,,0,6,1,true,0,13792,25700,13792,,,,,,,25700,,,,,,,1868,,,,,,,80996
Ravyn Lenae,Light Me Up,172016541,2022-03-24,2022-03-18T00:00:00.000Z,19617,109,6,6,1,true,0,119574,2452,119574,119456,118833,118345,117960,116945,116281,2452,2096,1222,653,626,618,604,19617,20934,22393,24672,21490,27387,32898,103710
Catie Turner,Nothing,172016545,2022-03-31,2022-03-25T00:00:00.000Z,16702,40,6,6,1,true,33,304926,394236,304926,304922,304912,304922,304899,304899,304976,394236,394211,394082,393980,393947,393915,393846,16702,17239,18381,19281,16474,19913,27975,80056
Weezer,Opening Night,172016546,2022-03-24,2022-03-20T00:00:00.000Z,27039,0,4,6,1,true,27,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,27039,33613,38433,49901,37407,,,142448
Weezer,Angels On Vacation,172016547,2022-03-24,2022-03-20T00:00:00.000Z,24176,0,4,6,1,true,28,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,24176,29720,34590,43990,34056,,,115268
Weezer,The Garden Of Eden,172016548,2022-03-24,2022-03-20T00:00:00.000Z,21201,0,4,6,1,true,26,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,21201,25143,29686,37199,29416,,,240949
Weezer,Sound Of Drums,172016549,2022-03-24,2022-03-20T00:00:00.000Z,17639,0,4,6,1,true,26,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,17639,21852,26029,33100,26740,,,84273
Weezer,All This Love,172016550,2022-03-24,2022-03-20T00:00:00.000Z,16838,0,4,6,1,true,24,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,16838,20744,24448,30699,24924,,,90352
Weezer,Wild At Heart,172016551,2022-03-24,2022-03-20T00:00:00.000Z,15591,0,4,6,1,true,26,568495,504465,568495,568515,567912,567554,567355,,,504465,504214,503767,503566,503365,,,15591,19112,23067,29066,24115,,,74938
Reiley,Blah Blah Blah,172016782,2022-04-21,2022-04-15T00:00:00.000Z,7095,28,6,6,1,true,26,366984,11000000,366984,366769,366495,366330,366281,366242,366480,11000000,11000000,11000000,11000000,11000000,11000000,11000000,7095,5930,4096,4014,4329,6090,4288,36996
Kylie Minogue,Magic (Intro) (Infinite Disco),172017016,2022-04-14,2022-04-08T00:00:00.000Z,3214,22,6,6,1,true,22,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,3214,3143,3283,3730,3638,5143,7752,17414
Kylie Minogue,I Love It (Infinite Disco),172017017,2022-04-14,2022-04-08T00:00:00.000Z,3359,23,6,6,1,true,32,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,3359,3276,3510,3958,3824,5273,7587,18171
Kylie Minogue,In Your Eyes (Infinite Disco),172017018,2022-04-14,2022-04-08T00:00:00.000Z,3418,36,6,6,1,true,14,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,3418,3290,3497,3884,3853,5269,7584,21190
Kylie Minogue,Light Years (Infinite Disco),172017019,2022-04-14,2022-04-08T00:00:00.000Z,3134,20,6,6,1,true,36,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,3134,3102,3298,3647,3689,4922,6980,16744
Kylie Minogue,Supernova (Infinite Disco),172017020,2022-04-14,2022-04-08T00:00:00.000Z,2813,13,6,6,1,true,26,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,2813,2883,3070,3371,3268,4604,6687,15197
Kylie Minogue,Monday Blues (Infinite Disco),172017023,2022-04-14,2022-04-08T00:00:00.000Z,1900,6,6,6,1,true,27,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,1900,1905,2028,2219,2247,3241,4458,10173
Kylie Minogue,Where Does The Dj Go? (Infinite Disco),172017024,2022-04-14,2022-04-08T00:00:00.000Z,1845,7,6,6,1,true,28,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,1845,1798,1936,2148,2144,3042,4255,9707
Kylie Minogue,Love At First Sight (Infinite Disco),172017025,2022-04-14,2022-04-08T00:00:00.000Z,2079,9,6,6,1,true,30,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,2079,2061,2226,2507,2435,3454,4720,11487
Kylie Minogue,Light Years (Reprise) (Infinite Disco),172017028,2022-04-14,2022-04-08T00:00:00.000Z,2309,8,6,6,1,true,16,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,2309,2310,2496,2714,2665,3786,5532,12160
Kylie Minogue,Dance Floor Darling (Infinite Disco),172017029,2022-04-14,2022-04-08T00:00:00.000Z,2604,7,6,6,1,true,31,2342012,170316,2342012,2342041,2342154,2341981,2341808,2341849,2341551,170316,170283,170258,170233,170208,170166,170116,2604,2527,2768,2994,2879,4098,5723,13758
Kali (Hip-Hop/R&B),Ms. Lick Back,172111672,2022-03-17,2022-03-11T00:00:00.000Z,15659,9,6,6,1,true,30,433478,460482,433478,432042,431376,430409,427884,426180,425427,460482,460365,460103,459544,458878,458750,458197,15659,16953,19142,19589,14868,18847,22116,69379
Kali (Hip-Hop/R&B),Eat It Up,172111674,2022-03-17,2022-03-11T00:00:00.000Z,47404,10,6,6,1,true,36,433478,460482,433478,1742218,431376,430409,427884,1739670,425427,460482,271948,460103,459544,458878,271878,458197,47404,46973,46816,42288,33961,39588,40232,352426
