ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,IG_FOLLOWER_COUNT,TT_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6,TTFOLDAY0,TTFOLDAY1,TTFOLDAY2,TTFOLDAY3,TTFOLDAY4,TTFOLDAY5,TTFOLDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET
Lil Uzi Vert,Myron,96067864,2020-03-19,2020-03-13T00:00:00.000Z,2051125,0,6,6,1,true,66,11962286,,11962286,11948098,11932753,11916943,11917335,11835554,11822939,,,,,,,,2051125,2223234,2453686,2810397,3062805,4098291,6495036,11507008
Adia Victoria,Different Kind Of Love,96180115,2019-01-10,2019-01-10T00:00:00.000Z,331,,0,6,1,true,0,,,,,,,,,,,,,,,,,331,,,,,,,13259
Lauren Daigle,The Christmas Song,96219940,2019-11-28,2019-11-22T00:00:00.000Z,81956,143808,6,6,1,true,0,1732101,,1732101,1730851,1729033,1728063,1727000,1726255,1725329,,,,,,,,81956,86936,67571,64419,59408,62329,47464,795887
Melanie Martinez,Drama Club,96241396,2019-09-12,2019-09-06T00:00:00.000Z,352974,1574,6,6,1,true,64,6266517,,6266517,6239765,6210751,6164930,6165493,6061900,6050640,,,,,,,,352974,381305,409948,450491,392621,371642,372570,1960959
Galantis,Emoji,96243230,2019-01-10,2019-01-04T00:00:00.000Z,20236,121709,6,6,1,true,2,1150300,,1150300,1150075,1124,1147773,1125,1125,1144190,,,,,,,,20236,22673,25879,21318,18107,22502,27102,176988
Anne-Marie,Perfect To Me,96243344,2019-01-31,2019-01-25T00:00:00.000Z,48068,292123,6,6,1,true,13,3803038,,3803038,,3797534,3793044,,3785775,3780769,,,,,,,,48068,52748,50841,45358,37448,44828,58658,323469
Vantage,50//50,96271777,2020-08-27,2020-08-21T00:00:00.000Z,28938,196348,6,6,1,true,48,3267,,3267,3254,3249,3247,3238,3240,3226,,,,,,,,28938,28975,28674,28137,27644,29761,30317,200226
Rival Sons,Sugar On The Bone,96292357,2019-01-31,2019-01-25T00:00:00.000Z,6210,41,6,6,1,true,34,60303,,60303,60051,59817,59597,59336,59080,58953,,,,,,,,6210,6641,7681,8245,6960,10912,14999,29462
Rival Sons,Too Bad,96292360,2019-08-22,2019-08-16T00:00:00.000Z,10186,59017,6,6,1,true,19,77515,,77515,77319,77236,77194,77132,77036,77001,,,,,,,,10186,10125,9892,9939,7692,9836,12502,69154
Rival Sons,Shooting Stars,96292365,2019-01-31,2019-01-25T00:00:00.000Z,3433,22,6,6,1,true,42,60303,,60303,60051,59817,59597,59336,59080,58953,,,,,,,,3433,3616,4225,4641,3885,5807,7234,17450
Whethan,Together,96293041,2019-12-26,2019-12-20T00:00:00.000Z,3979,29006,6,6,1,true,4,94874,,94874,94903,,94908,94905,94876,,,,,,,,,3979,2689,4305,4707,4080,5349,6283,31358
One OK Rock,Wasted Nights,96396021,2019-02-07,2019-02-01T00:00:00.000Z,7168,68,6,6,1,true,0,1170906,,1170906,1170079,1169146,1167947,1166487,1164889,1164080,,,,,,,,7168,7324,7865,8458,7207,9227,11239,45633
One OK Rock,Eye Of The Storm,96396023,2019-02-21,2019-02-15T00:00:00.000Z,6436,89,6,6,1,true,41,1190795,,1190795,1189279,1187695,1185954,1183807,1181143,1147688,,,,,,,,6436,6770,7174,7330,6776,8919,13857,32493
